key,code,title,summary,indication,cost,link,draft-mode,key:manager
project-01,"AAA-0001","T","summary",false,23,null,true,manager-01
project-02,"AAA-0002","Titulo de prueba","summary",false,23,null,true,manager-01
project-03,"AAA-0003","Enhancing Urban Sustainability: IoT Integration for Smart City Development","summary",false,23,"https://www.recyglo.com/",true,manager-01
project-04,"AAA-0004","Enhancing Urban Sustainability: IoT Integration for City Development","summary",false,23,"https://www.recyglo.com/",true,manager-01
project-05,POR-5555,"Заголовок теста","summary",false,12,null,true,manager-02
project-06,ZZZ-9997,"title","summary",false,12,null,true,manager-02
project-07,ZZZ-9999,"title","summary",false,12,null,true,manager-02
project-08,AAA-0000,"title","summary",false,12,null,true,manager-02
project-09,AAA-3333,"title","S",false,12,null,true,manager-01
project-10,ABC-0005,"title","Abstracto resumen",false,12,null,true,manager-01
project-11,ABC-0006,"title","Developing AI-based chatbot for customer service automation.",false,12,null,true,manager-01
project-12,ABC-3333,"title","Developing and implementing an AI chatbot system to automate customer service inquiries.",false,12,null,true,manager-01
project-13,DDD-3333,"title","अवलोकन सारांश",false,12,null,true,manager-02
project-14,DDD-3399,"title","summary",false,12,null,true,manager-02
project-15,LLL-3333,"title","summary",false,0,null,true,manager-01
project-16,BBB-3333,"title","ကို ယူနစ်သည်တွင် ပရိုဂရမ်အနှစ်မျိုးအား ရှိပါသည်။",false,7,null,true,manager-01
project-17,FFF-3333,"title","summary",false,2147483620,null,true,manager-01
project-18,QQQ-3333,"title","summary",false,2133483420,null,true,manager-01
project-19,PPP-3333,"title","summary",false,1135483620,null,true,manager-01